PDV_ID;NOME;CATEGORIA;ENDERECO;LOCAL;ESTADO;NR_CAIXAS;CLASIFICACAO_1;CLASIFICACAO_2;CLASIFICACAO_3;CLASIFICACAO_4;CLASIFICACAO_5;CLASIFICACAO_6;CLASIFICACAO_7;CLASIFICACAO_8;CLASIFICACAO_9;CLASIFICACAO_10;PRIMEIRA_TRANS;ULTIMA_TRANS;CNPJ;RAZAO_SOCIAL;REDE;TIPO_LOJA;MARCA;REGIAO;DATA_PROMO;PODE_PROMO
273;ARMAZÉM GREENE COUNTY;AUTOSERVICIOS;RUA RAYNOR, 836;CAXIAS DO SUL;RIO GRANDE DO SUL;4;BRASIL;SUL;RIO GRANDE DO SUL;INTERIOR;CAXIAS DO SUL;SUPERMERCADO;INDEPENDENTE;"";"";"";201707;202505;33771537090254;ARMAZÉM GREENE COUNTY S.A.;"";Supermercado;"";RIO GRANDE DO SUL INTERIOR;202505;PUEDE PROMOCIONAR
274;SUPER MARION COUNTY;AUTOSERVICIOS;AV BINS, 856;FEIRA DE SANTANA;BAHIA;10;BRASIL;NORDESTE;BAHIA;INTERIOR;FEIRA DE SANTANA;OUTROS;INDEPENDENTE;"";"";"";202009;202509;56634038374893;SUPER MARION COUNTY LTDA;"";Outros;"";BAHIA INTERIOR;;NO PUEDE PROMOCIONAR
275;ARMAZÉM MADISON COUNTY;AUTOSERVICIOS;AVENIDA THOMPSON, 625;SALVADOR;BAHIA;9;BRASIL;NORDESTE;BAHIA;REGIAO DA CAPITAL;SALVADOR;SUPERMERCADO;INDEPENDENTE;"";"";"";201607;202405;48667294943017;ARMAZÉM MADISON COUNTY EIRELI;"";Supermercado;"";BAHIA CAPITAL;202405;PUEDE PROMOCIONAR
276;SUPER HAMPSHIRE;AUTOSERVICIOS;AV BARROWS, 140;MARINGA;PARANA;3;BRASIL;SUL;PARANA;INTERIOR;MARINGA;CONVENIENCIA;INDEPENDENTE;"";"";"";201602;202503;87154541704286;SUPER HAMPSHIRE EIRELI;"";Conveniencia;"";PARANA INTERIOR;202503;PUEDE PROMOCIONAR
277;MERCADO UNION COUNTY;AUTOSERVICIOS;AV TOY-FLATLEY, 264;PORTO ALEGRE;RIO GRANDE DO SUL;10;BRASIL;SUL;RIO GRANDE DO SUL;REGIAO DA CAPITAL;PORTO ALEGRE;SUPERMERCADO;INDEPENDENTE;"";"";"";201805;202406;75086848586350;MERCADO UNION COUNTY LTDA;"";Supermercado;"";RIO GRANDE DO SUL CAPITAL;202406;PUEDE PROMOCIONAR
278;EMPORIO HEREFORDSHIRE;AUTOSERVICIOS;RUA SCHMITT, 552;FOZ DO IGUAÇU;PARANA;8;BRASIL;SUL;PARANA;INTERIOR;FOZ DO IGUAÇU;OUTROS;INDEPENDENTE;"";"";"";201708;202503;28933078063575;EMPORIO HEREFORDSHIRE EIRELI;"";Outros;"";PARANA INTERIOR;202503;PUEDE PROMOCIONAR
279;MERCADO CENTRAL;AUTOSERVICIOS;AVENIDA FISHER, 974;FOZ DO IGUAÇU;PARANA;2;BRASIL;SUL;PARANA;INTERIOR;FOZ DO IGUAÇU;CONVENIENCIA;INDEPENDENTE;"";"";"";201706;202401;15394900636683;MERCADO CENTRAL LTDA;"";Conveniencia;"";PARANA INTERIOR;202401;PUEDE PROMOCIONAR
280;MERCADINHO WAYNE COUNTY;AUTOSERVICIOS;RUA GLEICHNER, 841;CAMPINAS;SAO PAULO;7;BRASIL;SUDESTE;SAO PAULO;INTERIOR;CAMPINAS;CONVENIENCIA;INDEPENDENTE;"";"";"";201805;202509;02150861710868;MERCADINHO WAYNE COUNTY S.A.;"";Conveniencia;"";SAO PAULO INTERIOR;;NO PUEDE PROMOCIONAR
281;MERCADO ISLE OF WIGHT;AUTOSERVICIOS;RUA KERLUKE, 263;FOZ DO IGUAÇU;PARANA;10;BRASIL;SUL;PARANA;INTERIOR;FOZ DO IGUAÇU;SUPERMERCADO;INDEPENDENTE;"";"";"";202108;202409;13070158772534;MERCADO ISLE OF WIGHT EIRELI;"";Supermercado;"";PARANA INTERIOR;;NO PUEDE PROMOCIONAR
282;ARMAZÉM DORSET;AUTOSERVICIOS;RUA HERZOG, 374;CAXIAS DO SUL;RIO GRANDE DO SUL;6;BRASIL;SUL;RIO GRANDE DO SUL;INTERIOR;CAXIAS DO SUL;SUPERMERCADO;INDEPENDENTE;"";"";"";202109;202403;63594769811271;ARMAZÉM DORSET S.A.;"";Supermercado;"";RIO GRANDE DO SUL INTERIOR;;NO PUEDE PROMOCIONAR
283;MERCADO LEE COUNTY;AUTOSERVICIOS;AV VONRUEDEN, 801;JUIZ DE FORA;MINAS GERAIS;5;BRASIL;SUDESTE;MINAS GERAIS;INTERIOR;JUIZ DE FORA;SUPERMERCADO;INDEPENDENTE;"";"";"";202102;202402;24688717502835;MERCADO LEE COUNTY EIRELI;"";Supermercado;"";MINAS GERAIS INTERIOR;;NO PUEDE PROMOCIONAR
284;MERCADO MARSHALL COUNTY;AUTOSERVICIOS;AV DANIEL, 203;NITEROI;RIO DE JANEIRO;9;BRASIL;SUDESTE;RIO DE JANEIRO;INTERIOR;NITEROI;OUTROS;INDEPENDENTE;"";"";"";201501;202405;95011001147306;MERCADO MARSHALL COUNTY LTDA;"";Outros;"";RIO DE JANEIRO INTERIOR;202405;PUEDE PROMOCIONAR
285;MERCADINHO COUNTY TYRONE;AUTOSERVICIOS;RUA MILLS, 778;PORTO ALEGRE;RIO GRANDE DO SUL;2;BRASIL;SUL;RIO GRANDE DO SUL;REGIAO DA CAPITAL;PORTO ALEGRE;OUTROS;INDEPENDENTE;"";"";"";202002;202507;59097472761135;MERCADINHO COUNTY TYRONE LTDA;"";Outros;"";RIO GRANDE DO SUL CAPITAL;202507;PUEDE PROMOCIONAR
286;MERCADINHO NORTHUMBERLAND;AUTOSERVICIOS;AVENIDA PARISIAN, 302;UBERLANDIA;MINAS GERAIS;9;BRASIL;SUDESTE;MINAS GERAIS;INTERIOR;UBERLANDIA;SUPERMERCADO;INDEPENDENTE;"";"";"";201905;202407;70641040454636;MERCADINHO NORTHUMBERLAND EIRELI;"";Supermercado;"";MINAS GERAIS INTERIOR;202407;PUEDE PROMOCIONAR
287;MERCADO COUNTY FERMANAGH;AUTOSERVICIOS;AVENIDA ZEMLAK, 534;NOVA IGUACU;RIO DE JANEIRO;4;BRASIL;SUDESTE;RIO DE JANEIRO;INTERIOR;NOVA IGUACU;SUPERMERCADO;INDEPENDENTE;"";"";"";201906;202406;14212644230555;MERCADO COUNTY FERMANAGH EIRELI;"";Supermercado;"";RIO DE JANEIRO INTERIOR;;NO PUEDE PROMOCIONAR
288;MERCADINHO STRATHCLYDE;AUTOSERVICIOS;R BECKER, 595;VITORIA DA CONQUISTA;BAHIA;6;BRASIL;NORDESTE;BAHIA;INTERIOR;VITORIA DA CONQUISTA;CONVENIENCIA;INDEPENDENTE;"";"";"";201601;202507;73136469098993;MERCADINHO STRATHCLYDE EIRELI;"";Conveniencia;"";BAHIA INTERIOR;;NO PUEDE PROMOCIONAR
289;EMPORIO WORCESTERSHIRE;AUTOSERVICIOS;R BODE, 438;PONTA GROSSA;PARANA;10;BRASIL;SUL;PARANA;INTERIOR;PONTA GROSSA;SUPERMERCADO;INDEPENDENTE;"";"";"";201708;202404;91361823284065;EMPORIO WORCESTERSHIRE S.A.;"";Supermercado;"";PARANA INTERIOR;202404;PUEDE PROMOCIONAR
290;ARMAZÉM BERKSHIRE;AUTOSERVICIOS;RUA SCHULTZ, 628;ITABUNA;BAHIA;10;BRASIL;NORDESTE;BAHIA;INTERIOR;ITABUNA;SUPERMERCADO;INDEPENDENTE;"";"";"";201509;202503;94110306499919;ARMAZÉM BERKSHIRE EIRELI;"";Supermercado;"";BAHIA INTERIOR;202503;PUEDE PROMOCIONAR
291;EMPORIO DORSET;AUTOSERVICIOS;AVENIDA MARQUARDT, 410;BETIM;MINAS GERAIS;2;BRASIL;SUDESTE;MINAS GERAIS;INTERIOR;BETIM;OUTROS;INDEPENDENTE;"";"";"";201608;202505;35104332753077;EMPORIO DORSET LTDA;"";Outros;"";MINAS GERAIS INTERIOR;202505;PUEDE PROMOCIONAR
292;ARMAZÉM LINCOLNSHIRE;AUTOSERVICIOS;RUA STOKES, 130;JUIZ DE FORA;MINAS GERAIS;3;BRASIL;SUDESTE;MINAS GERAIS;INTERIOR;JUIZ DE FORA;OUTROS;INDEPENDENTE;"";"";"";202005;202502;49649064099515;ARMAZÉM LINCOLNSHIRE EIRELI;"";Outros;"";MINAS GERAIS INTERIOR;;NO PUEDE PROMOCIONAR
293;MERCADINHO RUTLAND;AUTOSERVICIOS;AV KOELPIN, 287;ITABUNA;BAHIA;5;BRASIL;NORDESTE;BAHIA;INTERIOR;ITABUNA;OUTROS;INDEPENDENTE;"";"";"";201701;202502;49895752185383;MERCADINHO RUTLAND LTDA;"";Outros;"";BAHIA INTERIOR;;NO PUEDE PROMOCIONAR
294;ARMAZÉM DERBYSHIRE;AUTOSERVICIOS;R HICKLE, 198;PETROPOLIS;RIO DE JANEIRO;4;BRASIL;SUDESTE;RIO DE JANEIRO;INTERIOR;PETROPOLIS;OUTROS;INDEPENDENTE;"";"";"";201608;202508;59242036189868;ARMAZÉM DERBYSHIRE LTDA;"";Outros;"";RIO DE JANEIRO INTERIOR;202508;PUEDE PROMOCIONAR
295;MERCADO WEST GLAMORGAN;AUTOSERVICIOS;AV VOLKMAN, 853;ITABUNA;BAHIA;5;BRASIL;NORDESTE;BAHIA;INTERIOR;ITABUNA;CONVENIENCIA;INDEPENDENTE;"";"";"";201705;202402;14725738777838;MERCADO WEST GLAMORGAN LTDA;"";Conveniencia;"";BAHIA INTERIOR;202402;PUEDE PROMOCIONAR
296;SUPER LAKE COUNTY;AUTOSERVICIOS;RUA BOGISICH, 870;VITORIA DA CONQUISTA;BAHIA;4;BRASIL;NORDESTE;BAHIA;INTERIOR;VITORIA DA CONQUISTA;SUPERMERCADO;INDEPENDENTE;"";"";"";201605;202504;49533469552025;SUPER LAKE COUNTY LTDA;"";Supermercado;"";BAHIA INTERIOR;;NO PUEDE PROMOCIONAR
297;MERCADINHO NORTHAMPTONSHIRE;AUTOSERVICIOS;AV HANSEN, 813;CAXIAS DO SUL;RIO GRANDE DO SUL;4;BRASIL;SUL;RIO GRANDE DO SUL;INTERIOR;CAXIAS DO SUL;SUPERMERCADO;INDEPENDENTE;"";"";"";202105;202503;18242476413692;MERCADINHO NORTHAMPTONSHIRE S.A.;"";Supermercado;"";RIO GRANDE DO SUL INTERIOR;;NO PUEDE PROMOCIONAR
298;ARMAZÉM SUFFOLK;AUTOSERVICIOS;R SCHMIDT, 997;RIBEIRAO PRETO;SAO PAULO;10;BRASIL;SUDESTE;SAO PAULO;INTERIOR;RIBEIRAO PRETO;SUPERMERCADO;INDEPENDENTE;"";"";"";201501;202502;41176487717908;ARMAZÉM SUFFOLK LTDA;"";Supermercado;"";SAO PAULO INTERIOR;;NO PUEDE PROMOCIONAR
299;MERCADO CALHOUN COUNTY;AUTOSERVICIOS;RUA HOWE, 540;NITEROI;RIO DE JANEIRO;3;BRASIL;SUDESTE;RIO DE JANEIRO;INTERIOR;NITEROI;OUTROS;INDEPENDENTE;"";"";"";201707;202506;42527094228734;MERCADO CALHOUN COUNTY S.A.;"";Outros;"";RIO DE JANEIRO INTERIOR;202506;PUEDE PROMOCIONAR
300;EMPORIO LAWRENCE COUNTY;AUTOSERVICIOS;R FRAMI, 946;MARINGA;PARANA;9;BRASIL;SUL;PARANA;INTERIOR;MARINGA;CONVENIENCIA;INDEPENDENTE;"";"";"";201603;202401;22653401970479;EMPORIO LAWRENCE COUNTY S.A.;"";Conveniencia;"";PARANA INTERIOR;;NO PUEDE PROMOCIONAR
301;EMPORIO WARREN COUNTY;AUTOSERVICIOS;R GOYETTE, 165;RIBEIRAO PRETO;SAO PAULO;5;BRASIL;SUDESTE;SAO PAULO;INTERIOR;RIBEIRAO PRETO;SUPERMERCADO;INDEPENDENTE;"";"";"";202005;202404;97387169867720;EMPORIO WARREN COUNTY S.A.;"";Supermercado;"";SAO PAULO INTERIOR;;NO PUEDE PROMOCIONAR
302;MERCADO FIFE;AUTOSERVICIOS;AVENIDA MARQUARDT, 935;FOZ DO IGUAÇU;PARANA;1;BRASIL;SUL;PARANA;INTERIOR;FOZ DO IGUAÇU;SUPERMERCADO;INDEPENDENTE;"";"";"";201806;202408;79600463526658;MERCADO FIFE S.A.;"";Supermercado;"";PARANA INTERIOR;202408;PUEDE PROMOCIONAR
303;SUPER LINCOLN COUNTY;AUTOSERVICIOS;R RUSSEL, 756;VITORIA DA CONQUISTA;BAHIA;3;BRASIL;NORDESTE;BAHIA;INTERIOR;VITORIA DA CONQUISTA;OUTROS;INDEPENDENTE;"";"";"";202108;202502;31250232658268;SUPER LINCOLN COUNTY LTDA;"";Outros;"";BAHIA INTERIOR;;NO PUEDE PROMOCIONAR
304;EMPORIO CLEVELAND;AUTOSERVICIOS;AV PREDOVIC, 603;SAO JOSE DOS CAMPOS;SAO PAULO;7;BRASIL;SUDESTE;SAO PAULO;INTERIOR;SAO JOSE DOS CAMPOS;CONVENIENCIA;INDEPENDENTE;"";"";"";201904;202408;12980074229527;EMPORIO CLEVELAND S.A.;"";Conveniencia;"";SAO PAULO INTERIOR;202408;PUEDE PROMOCIONAR
305;MERCADO LAKE COUNTY;AUTOSERVICIOS;R GULGOWSKI, 43;SAO JOSE DOS CAMPOS;SAO PAULO;6;BRASIL;SUDESTE;SAO PAULO;INTERIOR;SAO JOSE DOS CAMPOS;CONVENIENCIA;INDEPENDENTE;"";"";"";201603;202408;53378005234293;MERCADO LAKE COUNTY S.A.;"";Conveniencia;"";SAO PAULO INTERIOR;;NO PUEDE PROMOCIONAR
306;EMPORIO CAMBRIDGESHIRE;AUTOSERVICIOS;AVENIDA HAUCK, 132;PORTO ALEGRE;RIO GRANDE DO SUL;5;BRASIL;SUL;RIO GRANDE DO SUL;REGIAO DA CAPITAL;PORTO ALEGRE;OUTROS;INDEPENDENTE;"";"";"";202008;202409;78330098742209;EMPORIO CAMBRIDGESHIRE S.A.;"";Outros;"";RIO GRANDE DO SUL CAPITAL;;NO PUEDE PROMOCIONAR
307;EMPORIO HIGHLANDS AND ISLANDS;AUTOSERVICIOS;RUA PFANNERSTILL, 463;UBERLANDIA;MINAS GERAIS;8;BRASIL;SUDESTE;MINAS GERAIS;INTERIOR;UBERLANDIA;OUTROS;INDEPENDENTE;"";"";"";201801;202506;75633554331160;EMPORIO HIGHLANDS AND ISLANDS EIRELI;"";Outros;"";MINAS GERAIS INTERIOR;202506;PUEDE PROMOCIONAR
308;SUPER BERKSHIRE;AUTOSERVICIOS;R FEEST, 640;CAMPINAS;SAO PAULO;7;BRASIL;SUDESTE;SAO PAULO;INTERIOR;CAMPINAS;SUPERMERCADO;INDEPENDENTE;"";"";"";201707;202403;42276442037735;SUPER BERKSHIRE EIRELI;"";Supermercado;"";SAO PAULO INTERIOR;202403;PUEDE PROMOCIONAR
309;EMPORIO SOUTH YORKSHIRE;AUTOSERVICIOS;RUA SENGER, 784;FEIRA DE SANTANA;BAHIA;3;BRASIL;NORDESTE;BAHIA;INTERIOR;FEIRA DE SANTANA;SUPERMERCADO;INDEPENDENTE;"";"";"";201803;202507;65215929131900;EMPORIO SOUTH YORKSHIRE S.A.;"";Supermercado;"";BAHIA INTERIOR;202507;PUEDE PROMOCIONAR
310;EMPORIO SOMERSET;AUTOSERVICIOS;RUA LEBSACK, 52;SAO PAULO;SAO PAULO;2;BRASIL;SUDESTE;SAO PAULO;REGIAO DA CAPITAL;SAO PAULO;OUTROS;INDEPENDENTE;"";"";"";202001;202504;86577760700788;EMPORIO SOMERSET LTDA;"";Outros;"";SAO PAULO CAPITAL;202504;PUEDE PROMOCIONAR
311;ARMAZÉM SOMERSET;AUTOSERVICIOS;AV O'REILLY, 987;JUIZ DE FORA;MINAS GERAIS;4;BRASIL;SUDESTE;MINAS GERAIS;INTERIOR;JUIZ DE FORA;OUTROS;INDEPENDENTE;"";"";"";201804;202503;59696373207468;ARMAZÉM SOMERSET S.A.;"";Outros;"";MINAS GERAIS INTERIOR;;NO PUEDE PROMOCIONAR
312;EMPORIO PIKE COUNTY;AUTOSERVICIOS;AVENIDA BODE, 882;UBERLANDIA;MINAS GERAIS;2;BRASIL;SUDESTE;MINAS GERAIS;INTERIOR;UBERLANDIA;SUPERMERCADO;INDEPENDENTE;"";"";"";201502;202506;31405618775978;EMPORIO PIKE COUNTY EIRELI;"";Supermercado;"";MINAS GERAIS INTERIOR;202506;PUEDE PROMOCIONAR
313;SUPER UNION COUNTY;AUTOSERVICIOS;R NOLAN, 573;SAO PAULO;SAO PAULO;9;BRASIL;SUDESTE;SAO PAULO;REGIAO DA CAPITAL;SAO PAULO;OUTROS;INDEPENDENTE;"";"";"";201609;202505;56879885058380;SUPER UNION COUNTY LTDA;"";Outros;"";SAO PAULO CAPITAL;;NO PUEDE PROMOCIONAR
314;MERCADINHO MONROE COUNTY;AUTOSERVICIOS;R BEER, 968;SANTA MARIA;RIO GRANDE DO SUL;4;BRASIL;SUL;RIO GRANDE DO SUL;INTERIOR;SANTA MARIA;CONVENIENCIA;INDEPENDENTE;"";"";"";201905;202409;87601205415261;MERCADINHO MONROE COUNTY LTDA;"";Conveniencia;"";RIO GRANDE DO SUL INTERIOR;;NO PUEDE PROMOCIONAR
315;MERCADINHO NORTHUMBERLAND;AUTOSERVICIOS;R WHITE, 699;SALVADOR;BAHIA;5;BRASIL;NORDESTE;BAHIA;REGIAO DA CAPITAL;SALVADOR;CONVENIENCIA;INDEPENDENTE;"";"";"";202002;202501;30101847786718;MERCADINHO NORTHUMBERLAND S.A.;"";Conveniencia;"";BAHIA CAPITAL;202501;PUEDE PROMOCIONAR
316;MERCADINHO LOTHIAN;AUTOSERVICIOS;R REINGER-D'AMORE, 550;RIO DE JANEIRO;RIO DE JANEIRO;9;BRASIL;SUDESTE;RIO DE JANEIRO;REGIAO DA CAPITAL;RIO DE JANEIRO;SUPERMERCADO;INDEPENDENTE;"";"";"";201905;202409;04175242330763;MERCADINHO LOTHIAN LTDA;"";Supermercado;"";RIO DE JANEIRO CAPITAL;;NO PUEDE PROMOCIONAR
317;SUPER LEICESTERSHIRE;AUTOSERVICIOS;AV KRIS, 107;BELO HORIZONTE;MINAS GERAIS;10;BRASIL;SUDESTE;MINAS GERAIS;REGIAO DA CAPITAL;BELO HORIZONTE;OUTROS;INDEPENDENTE;"";"";"";201606;202401;25051581672820;SUPER LEICESTERSHIRE S.A.;"";Outros;"";MINAS GERAIS CAPITAL;;NO PUEDE PROMOCIONAR
318;EMPORIO WEST YORKSHIRE;AUTOSERVICIOS;AV DONNELLY, 880;JUIZ DE FORA;MINAS GERAIS;7;BRASIL;SUDESTE;MINAS GERAIS;INTERIOR;JUIZ DE FORA;SUPERMERCADO;INDEPENDENTE;"";"";"";201705;202401;32121085795093;EMPORIO WEST YORKSHIRE EIRELI;"";Supermercado;"";MINAS GERAIS INTERIOR;;NO PUEDE PROMOCIONAR
319;MERCADO COUNTY DOWN;AUTOSERVICIOS;RUA CONROY, 654;VITORIA DA CONQUISTA;BAHIA;4;BRASIL;NORDESTE;BAHIA;INTERIOR;VITORIA DA CONQUISTA;OUTROS;INDEPENDENTE;"";"";"";201909;202404;36037289495197;MERCADO COUNTY DOWN S.A.;"";Outros;"";BAHIA INTERIOR;;NO PUEDE PROMOCIONAR
320;ARMAZÉM DUMFRIES AND GALLOWAY;AUTOSERVICIOS;RUA DICKI, 636;NITEROI;RIO DE JANEIRO;9;BRASIL;SUDESTE;RIO DE JANEIRO;INTERIOR;NITEROI;SUPERMERCADO;INDEPENDENTE;"";"";"";201905;202509;07377466144697;ARMAZÉM DUMFRIES AND GALLOWAY LTDA;"";Supermercado;"";RIO DE JANEIRO INTERIOR;;NO PUEDE PROMOCIONAR
321;EMPORIO RUTLAND;AUTOSERVICIOS;AV NIENOW, 190;DUQUE DE CAXIAS;RIO DE JANEIRO;6;BRASIL;SUDESTE;RIO DE JANEIRO;INTERIOR;DUQUE DE CAXIAS;CONVENIENCIA;INDEPENDENTE;"";"";"";201706;202503;09092203281586;EMPORIO RUTLAND LTDA;"";Conveniencia;"";RIO DE JANEIRO INTERIOR;;NO PUEDE PROMOCIONAR
322;MERCADINHO STAFFORDSHIRE;AUTOSERVICIOS;RUA PREDOVIC, 96;PONTA GROSSA;PARANA;5;BRASIL;SUL;PARANA;INTERIOR;PONTA GROSSA;CONVENIENCIA;INDEPENDENTE;"";"";"";202002;202502;80879997018633;MERCADINHO STAFFORDSHIRE LTDA;"";Conveniencia;"";PARANA INTERIOR;;NO PUEDE PROMOCIONAR
323;MERCADO MADISON COUNTY;AUTOSERVICIOS;RUA JAST, 914;FOZ DO IGUAÇU;PARANA;9;BRASIL;SUL;PARANA;INTERIOR;FOZ DO IGUAÇU;CONVENIENCIA;INDEPENDENTE;"";"";"";202009;202505;60528732977006;MERCADO MADISON COUNTY EIRELI;"";Conveniencia;"";PARANA INTERIOR;202505;PUEDE PROMOCIONAR
324;EMPORIO LAWRENCE COUNTY;AUTOSERVICIOS;RUA PROSACCO, 394;PETROPOLIS;RIO DE JANEIRO;6;BRASIL;SUDESTE;RIO DE JANEIRO;INTERIOR;PETROPOLIS;OUTROS;INDEPENDENTE;"";"";"";202102;202506;12929366057707;EMPORIO LAWRENCE COUNTY LTDA;"";Outros;"";RIO DE JANEIRO INTERIOR;;NO PUEDE PROMOCIONAR
325;SUPER FAYETTE COUNTY;AUTOSERVICIOS;AV KEELING, 330;CAMPINAS;SAO PAULO;2;BRASIL;SUDESTE;SAO PAULO;INTERIOR;CAMPINAS;OUTROS;INDEPENDENTE;"";"";"";201608;202507;95150915831845;SUPER FAYETTE COUNTY LTDA;"";Outros;"";SAO PAULO INTERIOR;202507;PUEDE PROMOCIONAR
326;MERCADO FAYETTE COUNTY;AUTOSERVICIOS;AV OBERBRUNNER, 482;RIBEIRAO PRETO;SAO PAULO;2;BRASIL;SUDESTE;SAO PAULO;INTERIOR;RIBEIRAO PRETO;SUPERMERCADO;INDEPENDENTE;"";"";"";202008;202402;50429887399147;MERCADO FAYETTE COUNTY EIRELI;"";Supermercado;"";SAO PAULO INTERIOR;;NO PUEDE PROMOCIONAR
327;MERCADINHO CENTRAL;AUTOSERVICIOS;AVENIDA MORAR, 261;NITEROI;RIO DE JANEIRO;3;BRASIL;SUDESTE;RIO DE JANEIRO;INTERIOR;NITEROI;CONVENIENCIA;INDEPENDENTE;"";"";"";202001;202502;33439965986853;MERCADINHO CENTRAL LTDA;"";Conveniencia;"";RIO DE JANEIRO INTERIOR;;NO PUEDE PROMOCIONAR
328;MERCADO WILTSHIRE;AUTOSERVICIOS;R BECKER, 886;SAO PAULO;SAO PAULO;6;BRASIL;SUDESTE;SAO PAULO;REGIAO DA CAPITAL;SAO PAULO;CONVENIENCIA;INDEPENDENTE;"";"";"";201904;202403;63955864127773;MERCADO WILTSHIRE S.A.;"";Conveniencia;"";SAO PAULO CAPITAL;;NO PUEDE PROMOCIONAR
329;MERCADINHO DUMFRIES AND GALLOWAY;AUTOSERVICIOS;R LEANNON, 836;NITEROI;RIO DE JANEIRO;5;BRASIL;SUDESTE;RIO DE JANEIRO;INTERIOR;NITEROI;OUTROS;INDEPENDENTE;"";"";"";201901;202401;11248034680651;MERCADINHO DUMFRIES AND GALLOWAY LTDA;"";Outros;"";RIO DE JANEIRO INTERIOR;202401;PUEDE PROMOCIONAR
330;MERCADO LANCASHIRE;AUTOSERVICIOS;AV NICOLAS, 122;SANTA MARIA;RIO GRANDE DO SUL;2;BRASIL;SUL;RIO GRANDE DO SUL;INTERIOR;SANTA MARIA;CONVENIENCIA;INDEPENDENTE;"";"";"";201503;202407;90687064597486;MERCADO LANCASHIRE LTDA;"";Conveniencia;"";RIO GRANDE DO SUL INTERIOR;;NO PUEDE PROMOCIONAR
331;ARMAZÉM RUTLAND;AUTOSERVICIOS;RUA MOHR, 171;DUQUE DE CAXIAS;RIO DE JANEIRO;3;BRASIL;SUDESTE;RIO DE JANEIRO;INTERIOR;DUQUE DE CAXIAS;OUTROS;INDEPENDENTE;"";"";"";201504;202408;20735854003158;ARMAZÉM RUTLAND S.A.;"";Outros;"";RIO DE JANEIRO INTERIOR;;NO PUEDE PROMOCIONAR
332;MERCADO CRAWFORD COUNTY;AUTOSERVICIOS;R JASKOLSKI, 70;RIBEIRAO PRETO;SAO PAULO;6;BRASIL;SUDESTE;SAO PAULO;INTERIOR;RIBEIRAO PRETO;SUPERMERCADO;INDEPENDENTE;"";"";"";202105;202402;62141949601093;MERCADO CRAWFORD COUNTY EIRELI;"";Supermercado;"";SAO PAULO INTERIOR;;NO PUEDE PROMOCIONAR
333;MERCADO GLOUCESTERSHIRE;AUTOSERVICIOS;AV MANTE, 825;PORTO ALEGRE;RIO GRANDE DO SUL;2;BRASIL;SUL;RIO GRANDE DO SUL;REGIAO DA CAPITAL;PORTO ALEGRE;SUPERMERCADO;INDEPENDENTE;"";"";"";201903;202508;49645283570017;MERCADO GLOUCESTERSHIRE EIRELI;"";Supermercado;"";RIO GRANDE DO SUL CAPITAL;;NO PUEDE PROMOCIONAR
334;SUPER SOUTH GLAMORGAN;AUTOSERVICIOS;R O'CONNER, 928;CURITIBA;PARANA;5;BRASIL;SUL;PARANA;REGIAO DA CAPITAL;CURITIBA;CONVENIENCIA;INDEPENDENTE;"";"";"";201605;202507;24289407774644;SUPER SOUTH GLAMORGAN S.A.;"";Conveniencia;"";PARANA CAPITAL;202507;PUEDE PROMOCIONAR
335;MERCADO SOUTH GLAMORGAN;AUTOSERVICIOS;AV ZIEME, 799;BETIM;MINAS GERAIS;5;BRASIL;SUDESTE;MINAS GERAIS;INTERIOR;BETIM;CONVENIENCIA;INDEPENDENTE;"";"";"";202108;202502;95947242539704;MERCADO SOUTH GLAMORGAN EIRELI;"";Conveniencia;"";MINAS GERAIS INTERIOR;;NO PUEDE PROMOCIONAR
336;MERCADO STAFFORDSHIRE;AUTOSERVICIOS;RUA MOSCISKI, 606;SAO PAULO;SAO PAULO;9;BRASIL;SUDESTE;SAO PAULO;REGIAO DA CAPITAL;SAO PAULO;CONVENIENCIA;INDEPENDENTE;"";"";"";201601;202507;85267693631735;MERCADO STAFFORDSHIRE S.A.;"";Conveniencia;"";SAO PAULO CAPITAL;;NO PUEDE PROMOCIONAR
337;SUPER LEE COUNTY;AUTOSERVICIOS;AV BINS, 491;MARINGA;PARANA;7;BRASIL;SUL;PARANA;INTERIOR;MARINGA;OUTROS;INDEPENDENTE;"";"";"";201803;202507;15793837486245;SUPER LEE COUNTY EIRELI;"";Outros;"";PARANA INTERIOR;202507;PUEDE PROMOCIONAR
338;SUPER CUMBRIA;AUTOSERVICIOS;AV BORER, 101;CAMAÇARI;BAHIA;4;BRASIL;NORDESTE;BAHIA;INTERIOR;CAMAÇARI;CONVENIENCIA;INDEPENDENTE;"";"";"";201604;202509;48455473193698;SUPER CUMBRIA S.A.;"";Conveniencia;"";BAHIA INTERIOR;202509;PUEDE PROMOCIONAR
339;ARMAZÉM BUCKINGHAMSHIRE;AUTOSERVICIOS;RUA BRADTKE, 581;CONTAGEM;MINAS GERAIS;10;BRASIL;SUDESTE;MINAS GERAIS;INTERIOR;CONTAGEM;OUTROS;INDEPENDENTE;"";"";"";201603;202402;45504353020258;ARMAZÉM BUCKINGHAMSHIRE EIRELI;"";Outros;"";MINAS GERAIS INTERIOR;202402;PUEDE PROMOCIONAR
